"CODE","NAME","ANTIGEN_DESCRIPTION","vax1_coverage","vax2_coverage"
"LBY","Libya","Measles-containing vaccine, 1st dose",89,80
"LTU","Lithuania","Measles-containing vaccine, 1st dose",86,85
"LUX","Luxembourg","Measles-containing vaccine, 1st dose",99,94
"MDG","Madagascar","Measles-containing vaccine, 1st dose",46,46
"MWI","Malawi","Measles-containing vaccine, 1st dose",89,69
"MYS","Malaysia","Measles-containing vaccine, 1st dose",96,93
"MDV","Maldives","Measles-containing vaccine, 1st dose",99,99
"MLI","Mali","Measles-containing vaccine, 1st dose",72,60
"MLT","Malta","Measles-containing vaccine, 1st dose",88,86
"MHL","Marshall Islands","Measles-containing vaccine, 1st dose",88,61
"MRT","Mauritania","Measles-containing vaccine, 1st dose",93,59
"MUS","Mauritius","Measles-containing vaccine, 1st dose",98,96
"MEX","Mexico","Measles-containing vaccine, 1st dose",80,69
"FSM","Micronesia (Federated States of)","Measles-containing vaccine, 1st dose",81,60
"MCO","Monaco","Measles-containing vaccine, 1st dose",88,80
"MNG","Mongolia","Measles-containing vaccine, 1st dose",96,95
"MNE","Montenegro","Measles-containing vaccine, 1st dose",23,68
"MAR","Morocco","Measles-containing vaccine, 1st dose",98,98
"MOZ","Mozambique","Measles-containing vaccine, 1st dose",65,44
"MMR","Myanmar","Measles-containing vaccine, 1st dose",71,68
"NAM","Namibia","Measles-containing vaccine, 1st dose",79,66
"NRU","Nauru","Measles-containing vaccine, 1st dose",98,99
"NPL","Nepal","Measles-containing vaccine, 1st dose",97,93
"NLD","Netherlands (Kingdom of the)","Measles-containing vaccine, 1st dose",89,81
"NZL","New Zealand","Measles-containing vaccine, 1st dose",89,87
"NER","Niger","Measles-containing vaccine, 1st dose",81,77
"NGA","Nigeria","Measles-containing vaccine, 1st dose",57,35
"NIU","Niue","Measles-containing vaccine, 1st dose",99,99
"MKD","North Macedonia","Measles-containing vaccine, 1st dose",73,79
"NOR","Norway","Measles-containing vaccine, 1st dose",96,94
"PSE","occupied Palestinian territory, including east Jerusalem","Measles-containing vaccine, 1st dose",89,89
"OMN","Oman","Measles-containing vaccine, 1st dose",99,99
"PAK","Pakistan","Measles-containing vaccine, 1st dose",86,82
"PLW","Palau","Measles-containing vaccine, 1st dose",96,88
"PAN","Panama","Measles-containing vaccine, 1st dose",93,82
"PNG","Papua New Guinea","Measles-containing vaccine, 1st dose",44,26
"PRY","Paraguay","Measles-containing vaccine, 1st dose",90,69
"PER","Peru","Measles-containing vaccine, 1st dose",89,76
"PHL","Philippines","Measles-containing vaccine, 1st dose",80,71
"POL","Poland","Measles-containing vaccine, 1st dose",92,82
"PRT","Portugal","Measles-containing vaccine, 1st dose",99,96
"QAT","Qatar","Measles-containing vaccine, 1st dose",99,99
"KOR","Republic of Korea","Measles-containing vaccine, 1st dose",97,96
"MDA","Republic of Moldova","Measles-containing vaccine, 1st dose",84,93
"ROU","Romania","Measles-containing vaccine, 1st dose",78,62
"RUS","Russian Federation","Measles-containing vaccine, 1st dose",97,93
"RWA","Rwanda","Measles-containing vaccine, 1st dose",97,93
"KNA","Saint Kitts and Nevis","Measles-containing vaccine, 1st dose",95,97
"LCA","Saint Lucia","Measles-containing vaccine, 1st dose",83,67
"VCT","Saint Vincent and the Grenadines","Measles-containing vaccine, 1st dose",99,99
"WSM","Samoa","Measles-containing vaccine, 1st dose",85,60
"SMR","San Marino","Measles-containing vaccine, 1st dose",85,81
"STP","Sao Tome and Principe","Measles-containing vaccine, 1st dose",87,87
"SAU","Saudi Arabia","Measles-containing vaccine, 1st dose",96,96
"SEN","Senegal","Measles-containing vaccine, 1st dose",87,79
"SRB","Serbia","Measles-containing vaccine, 1st dose",84,91
"SYC","Seychelles","Measles-containing vaccine, 1st dose",97,88
"SLE","Sierra Leone","Measles-containing vaccine, 1st dose",90,73
"SGP","Singapore","Measles-containing vaccine, 1st dose",97,93
"SVK","Slovakia","Measles-containing vaccine, 1st dose",94,94
"SVN","Slovenia","Measles-containing vaccine, 1st dose",95,89
"SLB","Solomon Islands","Measles-containing vaccine, 1st dose",78,66
"SOM","Somalia","Measles-containing vaccine, 1st dose",64,32
"ZAF","South Africa","Measles-containing vaccine, 1st dose",76,82
"SSD","South Sudan","Measles-containing vaccine, 1st dose",72,NA
"ESP","Spain","Measles-containing vaccine, 1st dose",97,92
